sitename,city,state,country,notes,greenhouse,geometry,time_zone,soil,soilnotes
MAC Field Scanner Season 8 Range 1 Column 10 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E6100000010000000500000058A835AD87F618412A6F479465EC4B4176C3B6C58DF61841D509689265EC4B41FDBCA9A88DF61841E0A1281864EC4B41E0A1289087F618413507081A64EC4B4158A835AD87F618412A6F479465EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 11 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E6100000010000000500000076C3B6C58DF61841D509689265EC4B4194DE37DE93F618417FA4889065EC4B411BD82AC193F618418A3C491664EC4B41FDBCA9A88DF61841E0A1281864EC4B4176C3B6C58DF61841D509689265EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 11 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E6100000010000000500000094DE37DE93F618417FA4889065EC4B419B5AB6F699F61841293FA98E65EC4B4138F3ABD999F6184134D7691464EC4B411BD82AC193F618418A3C491664EC4B4194DE37DE93F618417FA4889065EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 12 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000009B5AB6F699F61841293FA98E65EC4B41B875370FA0F61841B62DCA8C65EC4B41560E2DF29FF61841DE718A1264EC4B4138F3ABD999F6184134D7691464EC4B419B5AB6F699F61841293FA98E65EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 12 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E61000000100000005000000B875370FA0F61841B62DCA8C65EC4B41D690B827A6F6184160C8EA8A65EC4B417429AE0AA6F61841890CAB1064EC4B41560E2DF29FF61841DE718A1264EC4B41B875370FA0F61841B62DCA8C65EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 13 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E61000000100000005000000D690B827A6F6184160C8EA8A65EC4B41F3AB3940ACF618410B630B8965EC4B4191442F23ACF6184133A7CB0E64EC4B417429AE0AA6F61841890CAB1064EC4B41D690B827A6F6184160C8EA8A65EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 13 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E61000000100000005000000F3AB3940ACF618410B630B8965EC4B4111C7BA58B2F61841B5FD2B8765EC4B41AF5FB03BB2F61841DD41EC0C64EC4B4191442F23ACF6184133A7CB0E64EC4B41F3AB3940ACF618410B630B8965EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 14 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E6100000010000000500000011C7BA58B2F61841B5FD2B8765EC4B412EE23B71B8F618415F984C8565EC4B41CC7A3154B8F618416A300D0B64EC4B41AF5FB03BB2F61841DD41EC0C64EC4B4111C7BA58B2F61841B5FD2B8765EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 14 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000002EE23B71B8F618415F984C8565EC4B414CFDBC89BEF6184109336D8365EC4B41EA95B26CBEF6184114CB2D0964EC4B41CC7A3154B8F618416A300D0B64EC4B412EE23B71B8F618415F984C8565EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 15 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000004CFDBC89BEF6184109336D8365EC4B416A183EA2C4F61841B3CD8D8165EC4B4107B13385C4F61841BF654E0764EC4B41EA95B26CBEF6184114CB2D0964EC4B414CFDBC89BEF6184109336D8365EC4B41,,some text,some text
